"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"SAGARDEEP",27.93,2025-08-29 00:00:00,-0.68,28.7,2025-07-31 00:00:00,-3.34,29.39,2025-04-30 00:00:00,-5.61,26.74,2024-10-31 00:00:00,3.74,27.74,
"SAGCEM",254.96,2025-08-29 00:00:00,1.76,243.67,2025-07-31 00:00:00,6.48,212.93,2025-04-30 00:00:00,21.85,224.25,2024-10-31 00:00:00,15.7,259.45,
"SAGILITY",43.87,2025-08-29 00:00:00,2.69,46.62,2025-07-31 00:00:00,-3.37,41.06,2025-04-30 00:00:00,9.72,0.001,,4504900,45.05,
"SAHYADRI",236.85,2025-08-29 00:00:00,7.54,301.9,2025-07-31 00:00:00,-15.63,264.98,2025-04-30 00:00:00,-3.88,343.45,2024-10-31 00:00:00,-25.84,254.7,
"SAIL",118.66,2025-08-29 00:00:00,2.05,124.2,2025-07-31 00:00:00,-2.5,113.71,2025-04-30 00:00:00,6.49,115.75,2024-10-31 00:00:00,4.61,121.09,
"SAILIFE",824.7,2025-08-29 00:00:00,2.47,808.45,2025-07-31 00:00:00,4.53,696.8,2025-04-30 00:00:00,21.28,0.001,,84509900,845.1,
"SAKHTISUG",21.11,2025-08-29 00:00:00,2.98,23.94,2025-07-31 00:00:00,-9.19,22.94,2025-04-30 00:00:00,-5.23,35.76,2024-10-31 00:00:00,-39.21,21.74,
"SAKSOFT",212.07,2025-08-29 00:00:00,0.81,210.15,2025-07-31 00:00:00,1.73,153.51,2025-04-30 00:00:00,39.26,228.75,2024-10-31 00:00:00,-6.54,213.78,
"SAKUMA",2.53,2025-08-29 00:00:00,-0.4,6.06,2024-08-30 00:00:00,-58.42,0.001,,251900,0.001,,251900,2.52,
"SALASAR",7.34,2025-08-29 00:00:00,1.5,7.15,2025-07-31 00:00:00,4.2,8.59,2025-04-30 00:00:00,-13.27,17.84,2024-10-31 00:00:00,-58.24,7.45,
"SALONA",240.9,2025-08-29 00:00:00,1.78,257.55,2025-07-31 00:00:00,-4.8,253.83,2025-04-30 00:00:00,-3.4,313.65,2024-10-31 00:00:00,-21.83,245.19,
"SALSTEEL",17.93,2025-08-29 00:00:00,1,17.22,2025-07-31 00:00:00,5.17,19.19,2025-04-30 00:00:00,-5.63,25.2,2024-10-31 00:00:00,-28.13,18.11,
"SALZERELEC",800.85,2025-08-29 00:00:00,2.47,824.85,2025-07-31 00:00:00,-0.51,949.3,2025-04-30 00:00:00,-13.55,1067.8,2024-10-31 00:00:00,-23.15,820.65,
"SAMBHAAV",6.56,2025-08-29 00:00:00,1.07,6.95,2025-07-31 00:00:00,-4.6,8.2,2024-12-24 00:00:00,-19.15,0.001,,662900,6.63,
